,0,Soil_Organic_Matter,Application_Rate_Unit_kg/ha,Crop_Protection_Application_Doses,Total_Water_Applied_mm,value,Soil_pH
1,3003.3333333333335,2.5,300.0,14,350,-220.35,5.5
11,3003.3333333333335,2.5,200.0,14,350,-220.35,5.5
21,3003.3333333333335,2.5,150.0,14,350,-220.35,5.5
31,2327.722222222222,2.5,300.0,18,350,3847.21,5.5
41,2327.722222222222,2.5,300.0,18,350,3847.21,5.5
61,3051.8,2.5,300.0,13,350,415.52,5.5
141,3732.777777777778,2.5,160.0,9,350,724.51,5.5
151,3732.777777777778,2.5,225.0,9,350,724.51,5.5
211,3919.2727272727275,2.5,150.0,9,350,502.1,5.5
221,3919.2727272727275,2.5,225.0,9,350,502.1,5.5
271,4142.4,2.5,170.0,10,350,539.27,5.5
281,4142.4,2.5,225.0,10,350,539.27,5.5
331,4123.2,2.5,300.0,9,350,814.34,5.5
401,3857.684210526316,2.5,225.0,10,350,549.46,5.5
461,4164.7,2.5,250.0,17,350,730.99,5.5
681,3487.9411764705883,2.5,250.0,20,350,1019.04,5.5
951,5116.571428571428,3.320000000000001,230.0,15,450,-1118.18,5.5
961,3283.1944444444443,3.05,230.0,15,450,-1069.08,5.5
971,5462.833333333333,2.620000000000001,260.0,15,450,-611.26,5.5
981,5368.96,2.5842857142857145,235.0,15,450,-562.59,5.5
1241,4462.686567164179,2.68,272.0,20,450,647.47,5.5
1311,3909.2819614711034,2.68,272.0,14,450,-370.11,5.5
1371,3549.423076923077,3.03695652173913,350.0,16,450,575.44,5.5
1501,1846.0,2.5,450.0,10,350,791.93,5.5
1531,3111.2,2.5,450.0,16,350,1052.09,5.5
1841,2778.832116788321,2.86,110.0,9,450,-82.91,5.5
1851,2778.832116788321,2.86,220.0,9,450,-82.91,5.5
2731,3829.1346153846152,2.5,120.0,15,350,-577.94,5.5
2751,4292.692307692308,2.5,120.0,15,350,163.09,5.5
2781,4125.393258426966,2.5,120.0,15,350,496.51,5.5
2791,4125.393258426966,2.5,200.0,15,350,496.51,5.5
3671,2070.0,4.05,350.0,9,450,-1724.9,5.5
3681,2070.0,4.05,400.0,9,450,-1724.9,5.5
3701,1793.0434782608695,4.2,350.0,12,450,-1769.89,5.5
3711,1793.0434782608695,4.2,400.0,12,450,-1769.89,5.5
3731,2368.6363636363635,0.15,350.0,13,450,1628.68,5.5
3741,2368.6363636363635,0.15,390.0,13,450,1628.68,5.5
3751,2368.6363636363635,0.15,200.0,13,450,1628.68,5.5
3761,1887.2,1.6800000000000002,350.0,11,450,394.27,5.5
3771,1887.2,1.6800000000000002,390.0,11,450,394.27,5.5
3781,1887.2,1.6800000000000002,200.0,11,450,394.27,5.5
3881,5194.744318181818,2.5,200.0,23,450,-325.26,5.5
3911,4845.555555555556,2.16,420.0,20,450,198.65,5.5
3921,4845.555555555556,2.16,30.0,20,450,198.65,5.5
3931,4845.555555555556,2.16,200.0,20,450,198.65,5.5
3941,4845.555555555556,2.16,150.0,20,450,198.65,5.5
3981,2051.276595744681,3.61,350.0,11,450,-900.04,5.5
3991,2051.276595744681,3.61,400.0,11,450,-900.04,5.5
4001,2051.276595744681,3.61,200.0,11,450,-900.04,5.5
4111,4800.896551724138,2.47,220.0,15,450,194.58,5.5
4761,4377.4358974358975,3.911538461538461,272.0,24,450,-358.9,5.5
4801,3544.74358974359,3.124137931034483,272.0,25,450,973.03,5.5
4851,3543.2051282051284,3.832,272.0,24,450,-551.39,5.5
4881,3943.076923076923,2.007894736842105,272.0,24,450,748.4,5.5
4921,4960.0,2.5,260.0,19,350,1060.97,5.5
4961,4477.614678899083,2.5,260.0,19,350,490.6,5.5
4991,4445.221238938053,2.5,260.0,18,350,-85.83,5.5
5041,5228.347826086957,2.5,260.0,17,350,-534.9,5.5
5061,2450.0,2.96,210.0,31,450,1497.96,6.083333333333332
5101,2763.78640776699,2.795555555555556,210.0,23,450,790.11,5.033333333333332
5151,1865.5128205128206,3.659375,210.0,27,450,79.62,5.143749999999998
5191,2172.3376623376626,3.709375,260.0,28,450,218.76,5.80625
5231,3411.0344827586205,2.822916666666667,210.0,24,450,905.01,5.702083333333333
